,num_layers,layers,accuracy
23,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.39899998903274536
24,6,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.445499986410141
25,5,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.48649999499320984
26,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.36550000309944153
27,5,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4490000009536743
28,6,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.3774999976158142
29,4,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4440000057220459
30,5,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4259999990463257
31,3,"[{'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 3}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.39149999618530273
32,6,"[{'type': 'Conv2D', 'filters': 64, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'MaxPooling2D', 'pool_size': (2, 2)}, {'type': 'Conv2D', 'filters': 32, 'kernel_size': 5}, {'type': 'GlobalAveragePooling2D'}, {'type': 'Dense', 'units': 10, 'activation': 'softmax'}]",0.4584999978542328
